구분,주소,입력주소,X,Y
경찰서,경상남도 진주시 비봉로24번길 3,경상남도 진주시 비봉로24번길 3,128.0818651,35.1931905
지구대,경상남도 진주시 비봉로33번길 2 ,경상남도 진주시 비봉로33번길 2 ,128.0806138,35.1937682
지구대,경상남도 진주시 동진로 263,경상남도 진주시 동진로 263,128.1199399,35.1803764
지구대,경상남도 진주시 창렬로7번길 12,경상남도 진주시 창렬로7번길 12,128.0720887,35.1896
지구대,경상남도 진주시 평거로 42,경상남도 진주시 평거로 42,128.0651692,35.1738017
지구대,경상남도 진주시 대신로 323-6,경상남도 진주시 대신로 323-6,128.1161319,35.1894125
파출소,경상남도 진주시 진주대로 560,경상남도 진주시 진주대로 560,128.1077984,35.1567972
파출소,경상남도 진주시 충무공동 충의로 149,경상남도 진주시 충무공동 충의로 149,128.1498594,35.1747272
파출소,경상남도 진주시 문산읍 동부로587번길 1,경상남도 진주시 문산읍 동부로587번길 1,128.1640735,35.1676415
파출소,경상남도 진주시 금산면 금산로 111,경상남도 진주시 금산면 금산로 111,128.1482945,35.2137521
파출소,경상남도 진주시 일반성면 창촌길 27-1,경상남도 진주시 일반성면 창촌길 27-1,128.2777406,35.1720496
파출소,경상남도 진주시 지수면 지수로 492,경상남도 진주시 지수면 지수로 492,128.2702326,35.235392
파출소,경상남도 진주시 수곡면 곤수로 903,경상남도 진주시 수곡면 곤수로 903,127.9375058,35.1943919
파출소,경상남도 진주시 대곡면 진의로 1065 ,경상남도 진주시 대곡면 진의로 1065 ,128.1685503,35.2622674
치안센터,경남 진주시 진주대로 942,경남 진주시 진주대로 942,128.0887185,35.1841623
치안센터,경남 진주시 대신로 94,경남 진주시 대신로 94,128.1184187,35.1686773
치안센터,경남 진주시 내동면 순환로 386,경남 진주시 내동면 순환로 386,128.0692533,35.1608819
치안센터,경남 진주시 명석면 우수리 산78,경남 진주시 명석면 우수리 산78,128.0297977,35.2076915
치안센터,경남 진주시 집현면 진주성로 748,경남 진주시 집현면 진주성로 748,128.0721041,35.2442717
치안센터,경남 진주시 대평면 한들길 53,경남 진주시 대평면 한들길 53,127.9600314,35.2333974
치안센터,경남 진주시 금곡면 월아산로 119,경남 진주시 금곡면 월아산로 119,128.1869989,35.0925272
치안센터,경남 진주시 진성면 동부로 1336-1,경남 진주시 진성면 동부로 1336-1,128.2246317,35.1854919
치안센터,경남 진주시 진산로 1815,경남 진주시 진산로 1815,128.0995723,35.2068069
치안센터,경남 진주시 사봉면 사군로 109,경남 진주시 사봉면 사군로 109,128.2706703,35.1885167
치안센터,경남 진주시 이반성면 용암리 281-23,경남 진주시 이반성면 용암리 281-23,128.3268219,35.1686639
방범대,경남 진주시 진성면 상촌리 872,경남 진주시 진성면 상촌리 872,128.2247731,35.1849778
방범대,경남 진주시 대평면 대평리 1800,경남 진주시 대평면 대평리 1800,127.9640866,35.2307214
방범대,경남 진주시 지수면 승산리 622,경남 진주시 지수면 승산리 622,128.2703733,35.2314344
방범대,경남 진주시 미천면 진산로 1811,경남 진주시 미천면 진산로 1811,128.0899082,35.3171216
